Service AWS,Category,Domains,Priority
EC2,Compute,"Domain 2: Design Resilient Architectures, Domain 3: Design High-Performing Architectures, Domain 4: Design Cost-Optimized Architectures",Tier 1
EC2 Auto Scaling,Compute,"Domain 2: Design Resilient Architectures, Domain 3: Design High-Performing Architectures, Domain 4: Design Cost-Optimized Architectures",Tier 1
Elastic Load Balancing (ELB),Compute,"Domain 2: Design Resilient Architectures, Domain 3: Design High-Performing Architectures, Domain 4: Design Cost-Optimized Architectures",Tier 1
Elastic Beanstalk,Compute,"Domain 2: Design Resilient Architectures, Domain 3: Design High-Performing Architectures, Domain 4: Design Cost-Optimized Architectures",Tier 1
Lambda,Serverless,"Domain 2: Design Resilient Architectures, Domain 3: Design High-Performing Architectures, Domain 4: Design Cost-Optimized Architectures",Tier 1
Fargate,Serverless,"Domain 2: Design Resilient Architectures, Domain 3: Design High-Performing Architectures, Domain 4: Design Cost-Optimized Architectures",Tier 1
S3,Storage,"Domain 1: Design Secure Architectures, Domain 2: Design Resilient Architectures, Domain 4: Design Cost-Optimized Architectures",Tier 1
EBS,Storage,"Domain 2: Design Resilient Architectures, Domain 3: Design High-Performing Architectures, Domain 4: Design Cost-Optimized Architectures",Tier 1
EFS,Storage,"Domain 2: Design Resilient Architectures, Domain 3: Design High-Performing Architectures, Domain 4: Design Cost-Optimized Architectures",Tier 1
S3 Glacier & S3 Glacier Deep Archive,Storage,"Domain 1: Design Secure Architectures, Domain 2: Design Resilient Architectures, Domain 4: Design Cost-Optimized Architectures",Tier 1
AWS Backup,Storage,"Domain 1: Design Secure Architectures, Domain 2: Design Resilient Architectures, Domain 4: Design Cost-Optimized Architectures",Tier 1
VPC,Networking,"Domain 1: Design Secure Architectures, Domain 2: Design Resilient Architectures, Domain 3: Design High-Performing Architectures",Tier 1
Route 53,Networking,"Domain 1: Design Secure Architectures, Domain 2: Design Resilient Architectures, Domain 3: Design High-Performing Architectures",Tier 1
Direct Connect,Networking,"Domain 2: Design Resilient Architectures, Domain 4: Design Cost-Optimized Architectures",Tier 1
Transit Gateway,Networking,"Domain 1: Design Secure Architectures, Domain 2: Design Resilient Architectures, Domain 4: Design Cost-Optimized Architectures",Tier 1
CloudFront,Networking,"Domain 1: Design Secure Architectures, Domain 3: Design High-Performing Architectures, Domain 4: Design Cost-Optimized Architectures",Tier 1
RDS,Database,"Domain 1: Design Secure Architectures, Domain 2: Design Resilient Architectures, Domain 3: Design High-Performing Architectures",Tier 1
Aurora,Database,"Domain 1: Design Secure Architectures, Domain 2: Design Resilient Architectures, Domain 3: Design High-Performing Architectures",Tier 1
